,number,time,duration,screen_x,screen_y
368,369,199459,199,138,638
369,370,201433,199,139,693
370,371,202350,140,221,657
371,372,203008,100,93,769
372,373,204045,100,779,833
373,374,204264,180,778,918
374,375,204464,120,834,936
375,376,204703,180,857,833
376,377,204902,219,797,830
377,378,205161,120,773,787
378,379,205301,100,780,792
379,380,205600,279,766,786
380,381,206437,140,792,790
381,382,206597,100,779,769
382,383,207095,139,117,762
383,384,207295,180,156,750
384,385,208132,100,841,829
385,386,208312,100,839,851
386,387,208710,159,779,755
387,388,209009,120,795,771
388,389,209189,120,834,802
389,390,209348,100,814,770
390,391,210305,139,789,853
391,392,211282,100,781,786
392,393,212857,120,42,234
393,394,213914,120,356,183
394,395,214612,120,272,167
395,396,215170,100,611,171
396,397,216326,100,112,702
397,398,217104,140,126,778
398,399,219616,159,611,146
399,400,220673,120,210,200
400,401,220912,120,410,215
401,402,221151,100,224,206
402,403,221769,120,243,208
403,404,222447,100,55,228
404,405,222607,100,249,216
405,406,223265,140,244,196
406,407,224162,179,127,722
407,408,225218,140,77,819
408,409,226275,159,722,658
409,410,226774,179,685,708
410,411,227312,219,743,760
411,412,228090,139,737,763
412,413,228449,100,737,571
413,414,228568,259,738,579
414,415,229106,120,711,709
415,416,229665,100,734,584
416,417,230103,179,673,566
417,418,230981,120,742,571
418,419,231658,140,752,658
419,420,232276,100,760,641
420,421,234031,120,76,816
421,422,234310,120,60,797
422,423,235048,140,93,844
423,424,235785,100,479,773
424,425,237360,279,437,887
425,426,237659,120,435,892
426,427,237859,180,409,888
427,428,238816,140,457,911
428,429,239055,120,465,918
429,430,239753,100,457,896
430,431,241049,100,747,669
431,432,241288,100,472,813
432,433,241767,100,429,748
433,434,242405,120,436,947
434,435,244159,100,725,645
435,436,244478,159,1101,723
436,437,244997,139,1101,918
437,438,245196,160,1082,948
438,439,245375,140,1096,950
439,440,245555,120,1114,931
440,441,245754,199,1118,928
441,442,246671,100,427,912
442,443,247568,160,239,239
443,444,248087,120,81,207
444,445,248745,159,543,169
445,446,249423,100,626,209
446,447,249542,120,614,209
447,448,249682,100,620,215
448,449,251436,160,35,193
449,450,252214,140,232,222
450,451,252373,199,234,231
451,452,253370,120,206,210
452,453,253908,140,247,242
453,454,255763,180,118,745
454,455,256441,100,60,640
455,456,256760,160,52,646
456,457,256959,120,53,663
457,458,257218,100,63,681
458,459,259511,100,89,598
459,460,260627,120,220,246
460,461,261226,100,724,551
461,462,262023,199,738,612
462,463,262282,179,746,617
463,464,262601,160,724,550
464,465,262980,100,731,560
465,466,263100,100,686,537
466,467,263299,100,703,550
467,468,264077,100,773,612
468,469,264296,100,742,652
469,470,265074,100,728,628
470,471,265632,219,769,652
471,472,266728,140,68,568
472,473,267506,140,836,653
473,474,267666,199,865,669
474,475,268323,120,776,666
475,476,268882,179,787,668
476,477,269221,239,812,689
477,478,269599,160,788,696
478,479,269779,179,820,715
479,480,270417,120,797,709
480,481,271055,119,789,748
481,482,271374,100,829,731
482,483,271753,219,830,759
483,484,272151,100,802,768
484,485,272789,100,788,751
485,486,272949,120,807,758
486,487,273168,199,775,752
487,488,273447,120,855,748
488,489,273806,120,744,759
489,490,274305,120,804,771
490,491,274444,100,805,754
491,492,274604,159,813,760
492,493,275162,100,783,778
493,494,275401,219,824,769
494,495,275680,179,805,765
495,496,276837,120,85,596
496,497,277076,100,56,522
497,498,277235,100,74,563
498,499,279130,100,231,227
499,500,279269,140,37,204
500,501,279528,120,249,230
501,502,279847,100,563,220
502,503,280027,140,658,215
503,504,280944,100,625,234
504,505,282220,100,609,194
505,506,283137,140,508,291
506,507,283635,140,244,271
507,508,284951,180,402,246
508,509,286088,139,267,254
509,510,286945,219,321,257
510,511,287483,120,314,260
511,512,288480,219,354,244
512,513,304789,100,56,681
